M63531.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Korea/426/1968(H2N2)	segment 7 (MP)	
M73524.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Korea/426/1968(H2N2)	segment 1 (PB2)	
V00603.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Puerto Rico/8/1934(H1N1)	segment 1 (PB2)	
V01088.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Puerto Rico/8/1934(H1N1)	segment 4 (HA)	
V01099.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Puerto Rico/8/1934(H1N1)	segment 7 (MP)	
V01106.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Puerto Rico/8/1934(H1N1)	segment 3 (PA)	
WSS3510840	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Victoria/2570/2019(H1N1)	segment 1 (PB2)	2022-2023 Northern Hemisphere Influenza Season
WSS3510841	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Victoria/2570/2019(H1N1)	segment 2 (PB1)	2022-2023 Northern Hemisphere Influenza Season
WSS3510842	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Victoria/2570/2019(H1N1)	segment 3 (PA)	2022-2023 Northern Hemisphere Influenza Season
WSS3510843	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Victoria/2570/2019(H1N1)	segment 4 (HA)	2022-2023 Northern Hemisphere Influenza Season
WSS3510844	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Victoria/2570/2019(H1N1)	segment 5 (NP)	2022-2023 Northern Hemisphere Influenza Season
WSS3510845	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Victoria/2570/2019(H1N1)	segment 6 (NA)	2022-2023 Northern Hemisphere Influenza Season
WSS3510846	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Victoria/2570/2019(H1N1)	segment 7 (MP)	2022-2023 Northern Hemisphere Influenza Season
WSS3510847	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Victoria/2570/2019(H1N1)	segment 8 (NS)	2022-2023 Northern Hemisphere Influenza Season
